3    19,19,1816,13,15,20,12,427935,15,12,16,20,58,13,32,21,9,26,28,16,19,18,976794,1212082,1243256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2    25,22,24,12,2011,16,12,18,25004,15,2003,23,17,35,20,22,22,21,17,16,22,27,17,21,15,18,16,26,22,18,1208,12,46073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2    29,15,22,22,12,94167,17,23,23,18,19,12,10,14,13,19,20,19,15,2012,24,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3    20,21,16,19,22,27,15,18,19,25,19,52,13,18,29,20,18,27,25,14,40,16,9,2057,18,11,27,19,5,17,16,4103,17,1368409,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3    18,14,15,24,19,21,20,19,17,17,16,586207,20,17,16,19,17,16,24,18,20,16,26,19,20,4113,16,13,23,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4    22,23,15,22,16,15,27,20,12,15,13,18,22,21,11,18,11,27,25,19,19,31,1212082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4    22,18,19,24,2020,8,11,24,23,15,19,11,10,17,21,15,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3    29,17,27,23,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,



0    0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1    10,25,188707,22,12,22,26,22,15,25,1137,19,26,29,22,1026,26,18,18,1180,23,1604871,18,21,22,1951,1094,24,22,22,21,20,27,19,1117,75060,16,18,2363971,21,14,1097,22,1091,29,24,31,32,1114,23,18,24,25,29,1123,1119,1106,19,24,1105,26,25,19,1095,21,18,27,20,17,23,19,9,1100,21,27,24,1091,13,1070,15,20,16,19,19,1122,1099,22,1534,12,21,20,20,26,15,29,12,1107,1109,0,0,
1    16,1903,20,25,1098,32,448,20,18,1998,24,20,1095,933,20,20,23,1604871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1    29,14,16,22,48,18,8,18,1291,21,21,19,14,16,21,1118,28,17,1101,27,23,20,7,13,22,26,1172,13,22,21,24,13,9,17,1892,10,19,19,18,1114,194,11,17,10,19,21,16,18,17,25,24,21,1078,28,1104,18,23,26,19,10,23,19,1124,14,18,13,31,28,22,23,25,15,1123,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3    23,1494858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2    22,17,13,23,15,12,3,10,13,25,13,10,15,22,14,22,24,18,21,25,3018,20,1519862,25,1544893,18,22,21,24,26,12,25,24,25,21,23,23,18,21,21,21,23,15,20,27,29,27,38,19,22,27,25,17,22,17,14,17,17,16,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3    24,25,136611,21,1940,15,2022,18,26,1985,22,18,22,19,19,20,17,23,1903,18,9,22,1036904,24,19,20,17,20,22,27,13,23,15,20,19,19,15,14,16,20,17,13,13,25,21,24,20,14,19,26,1908,22,26,19,16,26,15,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2    13,15,21,20,14,29,23,13,19,14,22,29,20,24,18,20,23,18,22,27,19,13,27,50028,22,21,18,15,18,17,16,13,21,9,10,23,28,261,96,2363971,21,22,11,2664300,22,18,17,21,18,13,20,13,20,11,22,25,15,15,22,12,24,26,17,15,13,16,22,19,22,27,12,19,15,24,19,18,15,27,19,23,27,24,21,19,18,20,25,18,0,0,0,0,0,0,0,0,0,0,0,0,
